Status,CreditGrade,Amount,Age,InterestRate
Current,C,5000,4,0.15
Current,HR,1900,6,0.265
Current,HR,1000,3,0.15
Current,HR,1000,5,0.29
Current,AA,2550,8,0.0795
Current,NC,1500,2,0.26
Current,HR,3001,6,0.2875
Current,E,2000,6,0.25
Current,AA,2550,1,0.0875
Current,A,1500,4,0.085
Current,AA,2500,5,0.075
Current,HR,2000,8,0.2375
Current,AA,7500,8,0.08
Current,D,3000,7,0.242
Current,D,1000,8,0.2195
Current,B,1000,10,0.15
Default,HR,1000,8,0.2375
Current,HR,1000,10,0.149
Current,AA,2500,8,0.08
Current,HR,1170,5,0.27
Current,AA,2550,6,0.05
Current,AA,3000,6,0.0849
Current,HR,2000,5,0.25
Current,A,5000,5,0.1019
Current,HR,1000,1,0.29
Current,NC,1000,1,0.05
Current,E,2000,1,0.15
Current,A,1500,4,0.0975
Current,HR,1100,8,0.23
Current,HR,1800,7,0.2075
Current,HR,1000,8,0.21
Current,A,1000,3,0.0725
Current,E,2300,7,0.2025
Current,E,1000,3,0.23
Current,HR,1700,1,0.19
Current,C,1000,9,0.2
Current,HR,1000,7,0.2
Late,HR,1200,6,0.24
Current,HR,1000,10,0.1775
Current,AA,1000,6,0.074
Current,HR,3000,10,0.22
Current,B,3000,1,0.09
Current,AA,2000,1,0.0774
Current,HR,1000,3,0.29
Current,A,5000,9,0.11
Current,AA,3000,3,0.08
Current,AA,1000,3,0.07
Late,HR,1050,7,0.2875
Current,E,1000,1,0.205
Current,B,2400,3,0.085
Current,HR,2550,2,0.04
Current,AA,2000,10,0.085
Current,AA,7500,4,0.08
Current,A,2500,2,0.0825
Current,C,7500,8,0.1649
Current,HR,1200,1,0.23
Current,HR,1225,1,0.27
Late,HR,2550,7,0.2875
Default,HR,3000,10,0.3575
Default,E,2000,9,0.1775
Current,B,2000,2,0.12
Current,HR,1000,5,0.095
Current,HR,3500,4,0.29
Current,NC,2000,3,0.23
Current,AA,2550,6,0.075
Current,HR,1000,3,0.19
Late,HR,1000,5,0.29
Current,D,3001,5,0.1995
Current,A,3000,1,0.079
Current,C,3000,5,0.13
Current,HR,1025,3,0.2
Current,HR,1000,4,0.29
Current,E,1000,1,0.17
Current,E,1200,1,0.17
Current,HR,1000,1,0.17
Current,HR,1650,5,0.2875
Current,D,3500,8,0.18
Current,HR,1000,3,0.23
Current,HR,2500,1,0.175
Current,AA,1000,9,0.075
Current,AA,3000,9,0.08
Current,AA,1000,4,0.08
Current,E,1800,5,0.1475
Current,HR,1000,2,0.15
Current,HR,1000,1,0.29
Current,HR,1000,3,0.29
Current,E,2000,5,0.19
Current,AA,1000,1,0.075
Current,HR,1000,3,0.29
Current,HR,1200,1,0.207
Current,E,1000,7,0.17
Current,E,3500,1,0.29
Current,D,2400,8,0.182
Current,AA,2501,7,0.08
Current,A,2500,6,0.112
Current,AA,1000,1,0.068
Current,C,1000,9,0.101
Current,NC,1000,2,0.17
Default,HR,1000,7,0.2075
Current,HR,1200,6,0.2475
Current,HR,2500,8,0.197
Current,E,2000,3,0.25
Current,E,1000,8,0.2375
Current,NC,2500,7,0.22
Current,HR,1500,8,0.2075
Current,HR,1100,5,0.29
Current,HR,3000,3,0.15
Current,AA,5500,2,0.08
Current,C,3000,11,0.11
Current,A,1200,9,0.1
Current,HR,1000,3,0.29
Current,A,1000,1,0.085
Current,B,5000,8,0.1275
Current,AA,2526,4,0.085
Current,HR,1500,4,0.29
Late,NC,2000,6,0.26
Current,HR,6001,6,0.2375
Late,HR,4000,9,0.1775
Current,C,3500,6,0.1575
Current,HR,1200,2,0.29
Current,AA,1000,3,0.068
Current,B,3000,7,0.118
Current,NC,1500,1,0.29
Current,AA,3000,13,0.06
Current,AA,3000,1,0.0775
Current,HR,2000,7,0.1897
Current,AA,2500,3,0.08
Current,HR,1000,5,0.29
Current,A,4000,1,0.0889
Current,HR,3000,6,0.2875
Current,A,1000,1,0.07
Current,B,5000,6,0.124
Current,A,5000,6,0.1175
Current,HR,2501,1,0.29
Current,D,3000,7,0.2075
Current,HR,1000,7,0.2075
Current,NC,1000,1,0.2
Current,HR,1000,3,0.07
Current,AA,2500,7,0.065
Current,AA,2500,9,0.08
Current,HR,1500,5,0.29
Late,HR,3000,7,0.28
Current,E,5000,4,0.289
Current,HR,1200,8,0.2375
Current,AA,10000,1,0.0895
Current,AA,6001,9,0.0775
Current,E,2200,3,0.0925
Current,HR,1000,2,0.25
Current,HR,2500,6,0.25
Current,E,7000,6,0.0575
Current,HR,1500,1,0.265
Late,AA,2000,11,0.1
Current,AA,6000,2,0.09
Current,HR,1000,1,0.2469
Current,AA,2550,1,0.095
Current,B,6001,8,0.15
Current,HR,2000,8,0.22
Current,HR,2000,1,0.29
Current,NC,1000,8,0.1775
Current,C,3000,10,0.15
Current,E,3200,5,0.03
Current,D,1000,5,0.11
Current,E,1000,1,0.23
Current,HR,2500,6,0.2875
Current,E,1500,1,0.15
Current,A,12500,1,0.12
Current,HR,3000,1,0.29
Current,HR,3000,2,0.2
Current,B,10000,8,0.14
Current,B,2500,8,0.1095
Current,C,8000,2,0.2
Current,AA,7500,7,0.0875
Current,B,1500,2,0.085
Current,B,4500,3,0.105
Current,AA,5000,1,0.0846
Current,HR,1000,1,0.24
Current,NC,1000,1,0.29
Current,HR,2550,1,0.29
Current,A,3000,3,0.0875
Current,HR,3000,6,0.275
Current,NC,2550,8,0.2375
Current,C,8500,4,0.15
Current,AA,5000,7,0.081
Current,E,2550,2,0.2
Current,A,2500,1,0.08
Current,HR,1000,2,0.15
Current,C,6000,1,0.118
Current,NC,3050,3,0.2495
Current,HR,1000,6,0.2475
Current,NC,1500,6,0.2
Current,HR,1200,3,0.17
Current,B,1000,7,0.093
Late,HR,2600,9,0.35
Current,A,3000,5,0.0812
Current,C,2999,7,0.15
Current,C,1000,8,0.1575
Current,AA,2840,8,0.0695
Current,NC,1200,5,0.2
Current,AA,2550,6,0.0826
Current,HR,1000,7,0.2425
Current,HR,1500,6,0.2325
Current,AA,3000,12,0.08
Current,HR,1125,1,0.29
Current,HR,1500,5,0.11
Late,HR,2500,5,0.29
Current,D,3000,3,0.148
Current,HR,2550,1,0.29
Late,HR,2000,10,0.3
Current,HR,1000,5,0.2625
Current,AA,3000,11,0.065
Current,C,1200,8,0.13
Late,E,2000,9,0.1575
Current,B,10000,5,0.145
Current,HR,1000,4,0.0995
